2021/01/23	12:55:07.142

Temps (ms)	Expediteur			Message
21822		Interface		SpeedCmd C3PO_ghost 0 0 0.0
21822		Interface		SpeedCmd C3PO_ghost 1 0 0.0
21830		Interface		SpeedCmd C3PO_ghost 0 0 0.0
21830		Interface		SpeedCmd C3PO_ghost 1 0 0.0
21871		Interface		SpeedCmd C3PO_ghost 0 0 0.0
21872		C3PO		PosReport C3PO_ghost 2296.744873046875 1476.685546875 3.2161436080932617
21872		Interface		SpeedCmd C3PO_ghost 1 0 0.0
21935		Interface		SpeedCmd C3PO_ghost 0 0 0.0
21935		Interface		SpeedCmd C3PO_ghost 1 0 0.0
21951		Interface		SpeedCmd C3PO_ghost 0 0 0.0
21951		Interface		SpeedCmd C3PO_ghost 1 0 0.0
21972		C3PO		PosReport C3PO_ghost 2266.3466796875 1474.4151611328125 3.2161436080932617
22002		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22002		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22032		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22032		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22073		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22073		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22074		C3PO		PosReport C3PO_ghost 2235.950439453125 1472.1448974609375 3.2161436080932617
22141		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22141		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22155		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22155		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22176		C3PO		PosReport C3PO_ghost 2220.718505859375 1471.0072021484375 3.2161436080932617
22205		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22205		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22235		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22235		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22275		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22276		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22278		C3PO		PosReport C3PO_ghost 2190.245361328125 1468.731201171875 3.2161436080932617
22344		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22344		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22357		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22357		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22379		C3PO		PosReport C3PO_ghost 2159.84326171875 1466.46044921875 3.2161436080932617
22407		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22407		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22438		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22438		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22478		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22478		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22481		C3PO		PosReport C3PO_ghost 2129.4501953125 1464.1904296875 3.2161436080932617
22548		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22548		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22558		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22558		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22582		C3PO		PosReport C3PO_ghost 2114.2236328125 1463.0531005859375 3.2161436080932617
22613		Interface		SpeedCmd C3PO_ghost 0 0 0.0
