2021/01/23	12:55:07.142

Temps (ms)	Commande
36256		SpeedCmd C3PO 2 0 -2.0000000002611458
36294		SpeedCmd C3PO 2 0 0.0
36294		SpeedCmd C3PO 2 0 -2.0000000002611458
36334		SpeedCmd C3PO 2 0 0.0
36334		SpeedCmd C3PO 2 0 -2.0000000002611458
36374		SpeedCmd C3PO 2 0 0.0
36374		SpeedCmd C3PO 2 0 -2.0000000002611458
36457		SpeedCmd C3PO 2 0 0.0
36457		SpeedCmd C3PO 2 0 -2.0000000002611458
36457		SpeedCmd C3PO 2 0 0.0
36457		SpeedCmd C3PO 2 0 -2.0000000002611458
36494		SpeedCmd C3PO 2 0 0.0
36495		SpeedCmd C3PO 2 0 -2.0000000002611458
36542		SpeedCmd C3PO 2 0 0.0
36542		SpeedCmd C3PO 2 0 -2.0000000002611458
36581		SpeedCmd C3PO 2 0 0.0
36582		SpeedCmd C3PO 2 0 -2.0000000002611458
36658		SpeedCmd C3PO 2 0 0.0
36658		SpeedCmd C3PO 2 0 -2.0000000002611458
36664		SpeedCmd C3PO 2 0 0.0
36665		SpeedCmd C3PO 2 0 -2.0000000002611458
36667		SpeedCmd C3PO 2 0 0.0
36677		SpeedCmd C3PO 1 0 0.0
37001		SpeedCmd C3PO 0 0 0.0
39820		PosCmdOrient C3PO 1892.1832884097034 1053.2345013477088 2.0344439360613458
56311		PosCmdOrient C3PO 1500 1000 0.0
67948		PosCmdOrient C3PO 1500 1000 0.0
